user_id,item_id,rating
868,204,2.0
160,55,4.0
230,121,4.0
505,173,3.0
416,746,5.0
622,62,4.0
78,257,4.0
416,975,2.0
796,257,5.0
655,649,3.0
617,590,1.0
138,285,4.0
537,39,2.0
396,117,4.0
57,756,3.0
251,535,3.0
343,100,5.0
180,69,4.0
846,382,3.0
807,254,4.0
588,313,5.0
399,238,1.0
325,737,4.0
251,476,2.0
344,121,3.0
63,262,4.0
60,419,3.0
311,98,5.0
236,265,2.0
94,187,4.0
420,508,3.0
473,9,5.0
454,270,4.0
622,4,4.0
782,355,3.0
406,129,5.0
826,181,5.0
325,403,2.0
472,21,3.0
452,780,1.0
151,945,5.0
927,91,4.0
256,1086,5.0
6,486,4.0
562,1126,4.0
109,568,5.0
101,278,2.0
721,65,1.0
322,234,4.0
5,208,4.0
488,655,3.0
941,358,2.0
775,312,3.0
298,237,5.0
323,144,4.0
314,215,4.0
718,751,5.0
458,960,1.0
765,237,3.0
807,633,4.0
503,233,5.0
357,473,3.0
715,410,4.0
308,153,5.0
484,274,4.0
269,778,3.0
618,96,3.0
767,163,4.0
653,310,4.0
23,109,3.0
559,427,4.0
542,13,4.0
897,378,5.0
85,476,3.0
679,64,4.0
785,1,4.0
532,591,5.0
484,117,4.0
217,22,5.0
154,258,3.0
885,189,5.0
495,392,5.0
619,578,4.0
455,435,4.0
553,505,5.0
346,842,1.0
782,994,2.0
721,328,5.0
178,7,4.0
308,449,3.0
626,879,1.0
655,226,3.0
318,869,3.0
130,569,3.0
474,48,4.0
476,1188,2.0
76,172,5.0
128,173,5.0
557,270,3.0
268,180,3.0
577,230,3.0
165,1119,3.0
573,211,5.0
624,687,2.0
259,108,4.0
428,310,4.0
456,289,4.0
99,628,4.0
297,272,5.0
516,250,4.0
724,898,1.0
926,315,4.0
896,152,3.0
508,204,3.0
128,14,5.0
880,734,3.0
606,228,5.0
641,198,5.0
222,365,4.0
82,661,4.0
359,24,3.0
862,969,5.0
90,709,5.0
894,350,3.0
64,197,3.0
244,71,4.0
291,154,4.0
389,79,4.0
145,1102,1.0
385,211,3.0
392,1012,4.0
161,118,2.0
399,591,3.0
919,144,4.0
244,1136,3.0
119,111,5.0
151,463,5.0
672,815,4.0
894,1023,3.0
561,241,2.0
244,433,5.0
551,779,4.0
188,7,5.0
579,1074,3.0
354,511,4.0
201,187,3.0
59,756,2.0
543,947,4.0
779,447,4.0
106,495,4.0
314,568,5.0
747,945,4.0
49,625,3.0
401,511,2.0
436,99,3.0
59,1028,1.0
245,1028,5.0
406,427,4.0
881,812,2.0
231,1,3.0
617,357,4.0
766,606,3.0
385,160,4.0
31,124,4.0
836,216,4.0
18,99,5.0
320,241,4.0
255,748,1.0
118,547,5.0
628,168,4.0
12,216,5.0
308,60,3.0
545,181,5.0
88,302,3.0
17,237,2.0
110,307,4.0
749,420,4.0
687,749,4.0
828,207,4.0
181,1,3.0
818,322,2.0
600,510,5.0
659,469,4.0
846,87,4.0
345,11,4.0
714,255,2.0
916,198,4.0
932,414,4.0
16,510,4.0
198,1117,3.0
269,205,3.0
751,381,1.0
841,288,3.0
71,135,4.0
104,117,2.0
244,1048,4.0
450,465,4.0
149,896,4.0
18,127,5.0
711,77,3.0
643,820,3.0
798,208,3.0
197,311,4.0
861,20,4.0
405,970,1.0
772,310,4.0
782,1173,2.0
94,475,5.0
457,640,4.0
659,144,4.0
41,474,5.0
303,948,2.0
535,45,3.0
716,393,3.0
52,463,5.0
1,18,4.0
551,153,3.0
520,871,1.0
152,367,3.0
344,173,5.0
69,302,4.0
437,378,4.0
234,1221,4.0
561,79,3.0
766,168,5.0
601,163,4.0
287,50,5.0
756,138,2.0
371,186,5.0
916,85,2.0
890,190,4.0
405,171,1.0
582,246,4.0
545,202,4.0
936,24,4.0
794,224,4.0
605,1226,4.0
416,161,4.0
790,609,2.0
13,272,4.0
354,694,5.0
162,230,2.0
591,1028,3.0
116,604,3.0
194,451,2.0
31,299,4.0
326,178,5.0
120,744,4.0
160,483,5.0
118,960,5.0
379,331,4.0
682,790,3.0
468,97,5.0
49,39,2.0
892,837,5.0
279,56,4.0
13,327,3.0
500,371,4.0
617,573,4.0
763,11,4.0
653,571,1.0
417,82,4.0
536,416,4.0
821,275,5.0
280,174,3.0
745,125,5.0
674,289,2.0
391,963,5.0
334,131,4.0
67,1,3.0
248,928,3.0
449,763,2.0
398,525,3.0
90,300,3.0
321,131,4.0
295,1473,4.0
207,181,3.0
770,257,4.0
890,89,4.0
632,485,4.0
933,367,4.0
595,1047,2.0
554,951,3.0
722,300,3.0
608,86,5.0
934,67,4.0
58,100,5.0
773,200,4.0
276,228,4.0
215,176,5.0
97,175,5.0
491,129,4.0
308,85,4.0
643,521,4.0
589,339,5.0
303,366,3.0
535,86,4.0
782,1089,2.0
399,588,5.0
158,127,5.0
863,1243,4.0
874,285,4.0
889,919,5.0
533,627,2.0
766,294,2.0
58,1069,2.0
802,56,3.0
555,288,3.0
916,746,3.0
474,227,4.0
328,65,4.0
263,260,2.0
293,943,2.0
581,222,3.0
458,717,1.0
618,763,2.0
666,92,3.0
846,404,4.0
145,449,3.0
233,633,5.0
417,551,3.0
62,21,3.0
405,776,1.0
747,98,5.0
858,327,3.0
838,274,4.0
222,366,4.0
846,1209,1.0
413,181,5.0
116,1258,2.0
517,1,3.0
176,325,3.0
16,100,5.0
897,673,5.0
561,228,3.0
276,806,4.0
658,129,3.0
870,521,3.0
345,974,3.0
388,569,5.0
64,7,4.0
209,9,3.0
394,797,3.0
399,284,2.0
671,188,2.0
85,510,4.0
28,436,5.0
325,1,2.0
436,95,4.0
22,110,1.0
25,134,4.0
83,294,3.0
502,294,3.0
310,1386,1.0
621,300,3.0
381,20,5.0
130,65,4.0
224,70,2.0
328,451,4.0
537,14,4.0
514,156,4.0
851,1105,4.0
845,1238,2.0
880,779,3.0
727,173,5.0
456,194,3.0
387,191,4.0
537,673,3.0
879,50,4.0
849,234,5.0
747,865,5.0
421,127,4.0
16,423,5.0
699,98,4.0
370,210,3.0
472,916,5.0
846,133,4.0
494,358,3.0
141,125,5.0
222,127,5.0
429,432,4.0
537,288,2.0
867,318,5.0
566,155,2.0
833,802,1.0
326,674,3.0
518,1017,3.0
456,231,2.0
92,229,3.0
840,663,4.0
648,217,2.0
392,312,4.0
429,382,3.0
786,86,4.0
116,322,2.0
203,100,1.0
807,141,3.0
385,485,4.0
655,909,3.0
788,23,3.0
85,404,3.0
846,549,4.0
700,174,4.0
851,1143,5.0
936,282,2.0
586,144,4.0
221,809,3.0
130,436,3.0
184,1167,5.0
13,222,3.0
592,877,2.0
807,969,4.0
216,108,4.0
6,302,4.0
344,511,4.0
305,197,2.0
567,152,4.0
137,79,5.0
804,175,4.0
747,404,5.0
98,321,3.0
927,1093,4.0
479,385,2.0
311,420,1.0
453,1145,2.0
852,290,4.0
201,568,3.0
450,378,5.0
698,133,2.0
131,1281,4.0
381,281,2.0
7,387,3.0
489,333,4.0
890,205,5.0
115,100,5.0
85,414,4.0
264,156,2.0
505,97,4.0
677,286,1.0
13,229,4.0
159,67,1.0
435,177,5.0
882,86,5.0
804,1079,4.0
10,527,4.0
727,29,3.0
83,25,2.0
833,488,5.0
269,246,5.0
102,511,3.0
773,1188,2.0
745,151,2.0
13,73,3.0
389,603,5.0
429,3,2.0
297,151,3.0
920,328,2.0
749,204,4.0
682,223,1.0
168,1012,5.0
622,756,3.0
751,1446,2.0
679,288,4.0
566,1028,2.0
907,475,3.0
593,238,4.0
286,1035,3.0
181,1332,1.0
716,228,4.0
601,157,3.0
224,243,2.0
561,1512,5.0
60,230,4.0
705,550,2.0
437,189,2.0
268,91,3.0
286,1411,2.0
7,448,3.0
445,829,1.0
807,385,4.0
905,333,3.0
184,942,3.0
110,1206,3.0
276,367,3.0
567,474,5.0
478,518,4.0
49,343,2.0
666,855,4.0
313,498,5.0
860,692,5.0
601,287,1.0
354,381,5.0
422,760,3.0
313,393,4.0
85,173,3.0
184,410,3.0
43,186,3.0
842,344,1.0
771,86,5.0
889,554,4.0
160,671,5.0
307,739,2.0
889,833,3.0
457,471,4.0
847,173,5.0
905,508,4.0
13,72,4.0
896,291,3.0
354,483,4.0
307,161,3.0
22,250,5.0
682,1045,3.0
311,131,3.0
852,473,3.0
214,79,4.0
21,688,1.0
830,696,2.0
795,219,3.0
755,887,3.0
642,993,4.0
311,172,5.0
334,1020,4.0
807,484,4.0
894,257,3.0
128,196,5.0
59,174,5.0
543,102,4.0
682,687,2.0
193,684,4.0
780,339,4.0
662,100,5.0
292,523,4.0
181,266,1.0
24,97,4.0
423,887,5.0
407,1012,3.0
1,149,2.0
654,204,4.0
210,257,5.0
405,1334,1.0
757,79,4.0
608,318,4.0
532,215,5.0
586,1273,4.0
303,98,5.0
532,1415,2.0
222,729,4.0
18,285,5.0
774,235,1.0
28,230,4.0
835,193,4.0
728,546,2.0
151,1264,4.0
263,153,3.0
279,805,3.0
813,877,1.0
457,948,1.0
486,1375,3.0
7,658,3.0
92,313,5.0
102,576,2.0
112,286,4.0
85,58,4.0
222,241,3.0
357,926,4.0
40,346,2.0
43,1035,4.0
526,475,5.0
587,937,4.0
854,1013,1.0
2,300,4.0
305,45,5.0
379,419,4.0
830,228,3.0
292,226,4.0
655,1532,2.0
695,682,1.0
336,216,5.0
49,102,2.0
115,137,5.0
10,216,4.0
178,260,1.0
280,220,5.0
774,519,5.0
145,174,5.0
846,365,2.0
538,710,3.0
260,362,5.0
655,281,2.0
472,1034,3.0
542,625,3.0
18,223,5.0
535,496,5.0
479,490,4.0
57,1093,3.0
650,550,3.0
327,529,3.0
204,191,4.0
393,391,3.0
389,1,4.0
853,331,2.0
462,323,2.0
535,210,5.0
448,874,3.0
151,473,4.0
491,657,5.0
49,290,2.0
30,231,2.0
451,681,1.0
409,285,4.0
854,925,2.0
489,245,3.0
719,137,1.0
318,255,4.0
723,289,2.0
561,86,4.0
650,419,4.0
870,713,4.0
642,452,1.0
807,485,5.0
371,50,4.0
588,959,5.0
500,313,3.0
303,47,5.0
877,727,4.0
157,1283,2.0
207,385,3.0
541,172,5.0
727,257,2.0
215,204,3.0
243,7,3.0
227,1028,2.0
423,304,4.0
347,172,5.0
465,127,4.0
642,527,4.0
699,185,4.0
271,11,4.0
405,1444,2.0
716,117,4.0
336,88,2.0
784,678,4.0
378,58,4.0
401,198,4.0
184,285,5.0
495,379,5.0
586,174,4.0
314,1289,2.0
130,121,5.0
59,625,3.0
255,121,2.0
457,168,5.0
431,327,3.0
166,288,3.0
308,17,4.0
734,144,2.0
844,56,4.0
347,79,5.0
417,39,3.0
682,159,3.0
270,509,3.0
872,354,4.0
702,289,2.0
416,761,4.0
592,89,4.0
10,367,4.0
648,728,2.0
699,109,3.0
899,483,4.0
913,132,3.0
198,382,4.0
158,1098,4.0
145,300,3.0
9,521,4.0
159,742,2.0
128,966,4.0
189,952,5.0
617,606,3.0
15,18,1.0
543,385,3.0
756,418,3.0
373,401,4.0
748,195,4.0
150,410,4.0
442,42,4.0
186,717,3.0
650,191,4.0
305,664,2.0
524,435,4.0
537,262,5.0
42,926,3.0
85,199,5.0
144,234,4.0
749,444,2.0
940,430,4.0
429,193,4.0
225,143,2.0
911,855,5.0
145,79,5.0
669,196,3.0
689,1,3.0
639,199,3.0
198,470,3.0
804,523,5.0
851,340,5.0
505,258,1.0
308,709,3.0
539,372,2.0
459,123,3.0
130,752,5.0
642,407,5.0
342,952,3.0
651,515,5.0
881,202,4.0
256,409,4.0
487,732,5.0
724,258,4.0
154,143,3.0
929,127,5.0
416,778,3.0
234,258,2.0
536,141,4.0
255,760,1.0
210,755,3.0
84,546,3.0
278,525,5.0
450,509,4.0
399,419,3.0
285,185,3.0
117,789,4.0
178,241,5.0
454,385,3.0
397,705,5.0
267,433,5.0
567,293,5.0
56,210,5.0
286,175,5.0
765,283,4.0
631,289,4.0
158,68,3.0
561,636,1.0
92,432,3.0
856,272,5.0
222,585,3.0
19,310,4.0
279,517,4.0
474,188,5.0
114,96,3.0
13,871,2.0
33,348,4.0
645,474,5.0
758,1039,5.0
798,258,4.0
184,378,4.0
505,71,4.0
896,789,2.0
796,100,3.0
343,8,5.0
23,408,5.0
793,742,3.0
234,751,2.0
566,210,4.0
246,223,5.0
179,331,2.0
913,203,4.0
330,105,4.0
7,217,4.0
897,393,4.0
130,455,4.0
307,474,5.0
532,266,4.0
405,350,1.0
940,873,3.0
290,99,4.0
639,59,3.0
397,127,5.0
217,258,1.0
593,163,4.0
315,17,1.0
434,125,5.0
924,273,3.0
209,276,2.0
862,45,4.0
164,342,2.0
215,432,5.0
548,176,4.0
882,841,1.0
807,1411,1.0
598,895,2.0
11,274,3.0
104,1028,2.0
407,400,1.0
886,790,4.0
763,609,4.0
631,310,4.0
457,120,2.0
882,172,5.0
332,770,3.0
782,680,1.0
397,302,5.0
894,1010,4.0
795,742,2.0
476,70,3.0
380,433,3.0
297,265,3.0
26,751,4.0
481,198,4.0
659,705,5.0
75,290,4.0
684,50,4.0
83,832,3.0
877,371,5.0
372,23,5.0
417,161,3.0
13,522,5.0
670,650,2.0
363,270,2.0
63,301,5.0
758,597,2.0
302,680,2.0
409,1050,4.0
308,1046,4.0
408,1296,4.0
708,1152,5.0
638,128,3.0
692,762,4.0
393,195,3.0
833,522,2.0
271,135,4.0
308,144,3.0
747,162,5.0
276,281,3.0
102,358,3.0
437,218,2.0
248,183,5.0
904,275,5.0
782,332,4.0
474,414,4.0
150,475,5.0
313,102,3.0
416,452,3.0
393,934,3.0
846,699,3.0
249,723,4.0
223,288,3.0
692,1047,2.0
838,175,3.0
833,98,3.0
56,191,4.0
280,132,4.0
76,421,3.0
169,199,4.0
758,1025,3.0
314,42,5.0
495,168,5.0
591,508,4.0
747,88,2.0
542,693,4.0
236,756,1.0
194,383,1.0
843,627,2.0
92,179,5.0
128,869,3.0
14,211,4.0
270,213,5.0
543,71,4.0
694,127,5.0
585,212,5.0
454,100,4.0
276,801,3.0
94,786,3.0
691,748,4.0
342,756,3.0
313,515,5.0
24,55,5.0
506,29,2.0
141,261,1.0
416,225,1.0
458,704,2.0
897,151,5.0
38,144,5.0
551,232,5.0
280,1297,4.0
559,199,5.0
454,604,3.0
553,177,4.0
640,81,5.0
655,508,3.0
515,332,3.0
345,287,4.0
342,175,5.0
106,28,4.0
401,97,4.0
373,739,3.0
901,111,3.0
312,640,2.0
275,22,3.0
95,447,2.0
9,340,4.0
377,258,4.0
804,69,4.0
334,514,4.0
48,609,4.0
452,516,3.0
637,257,2.0
455,724,3.0
95,250,4.0
279,741,5.0
174,742,4.0
251,60,4.0
280,736,2.0
483,270,3.0
176,297,3.0
457,69,5.0
847,218,3.0
758,143,5.0
405,1545,2.0
106,280,2.0
674,292,4.0
178,471,4.0
68,245,3.0
407,416,3.0
536,385,4.0
378,38,3.0
934,239,4.0
145,293,4.0
897,530,3.0
648,635,2.0
643,204,3.0
620,758,2.0
732,286,5.0
889,732,2.0
374,637,4.0
90,203,5.0
195,877,3.0
178,12,5.0
645,488,4.0
712,234,2.0
167,225,3.0
655,528,5.0
637,24,2.0
130,122,3.0
387,532,3.0
60,736,5.0
221,737,4.0
189,225,4.0
640,33,3.0
931,272,5.0
792,24,3.0
277,282,4.0
497,416,2.0
25,929,4.0
545,679,2.0
130,58,2.0
1,165,5.0
301,183,3.0
28,100,5.0
804,496,5.0
650,91,4.0
551,1136,5.0
916,73,3.0
234,265,3.0
655,312,2.0
422,237,4.0
222,403,3.0
749,740,3.0
818,271,4.0
406,211,5.0
177,200,4.0
399,552,1.0
406,461,3.0
116,255,3.0
194,321,3.0
174,407,1.0
184,34,2.0
399,928,2.0
936,116,4.0
790,231,4.0
296,274,4.0
881,573,3.0
833,452,1.0
34,289,1.0
567,589,5.0
766,180,4.0
250,28,4.0
406,56,5.0
484,405,4.0
157,100,5.0
910,250,1.0
430,152,4.0
45,993,4.0
7,44,5.0
332,70,2.0
526,285,5.0
918,495,3.0
533,1001,1.0
325,443,4.0
880,79,4.0
184,172,4.0
234,200,5.0
52,864,3.0
568,1125,4.0
18,1,5.0
43,313,5.0
897,603,5.0
158,175,4.0
790,288,4.0
257,301,3.0
699,50,3.0
894,698,4.0
450,443,4.0
939,508,5.0
90,357,5.0
60,1060,4.0
650,164,4.0
896,527,4.0
650,565,3.0
393,497,4.0
244,743,5.0
486,1093,4.0
690,428,1.0
501,979,3.0
595,744,3.0
7,590,2.0
699,325,5.0
417,568,2.0
650,89,4.0
920,286,2.0
923,3,4.0
5,415,1.0
758,100,5.0
92,1090,3.0
632,64,5.0
566,461,4.0
766,234,4.0
938,928,5.0
301,157,2.0
488,678,2.0
776,509,5.0
10,302,4.0
387,429,3.0
655,1024,3.0
109,158,1.0
393,996,3.0
537,176,2.0
183,202,4.0
328,332,3.0
154,191,4.0
311,1041,3.0
363,11,5.0
367,268,4.0
194,274,2.0
922,715,3.0
