Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,age
0.20161290322580644,0.12903225806451613,0.056451612903225805,0.12096774193548387,0.3629032258064516,0.07258064516129033,0.024193548387096774,0.4112903225806452,0.0,0.008064516129032258,0.024193548387096774,0.08870967741935484,0.056451612903225805,0.13709677419354838,0.04838709677419355,0.1935483870967742,0.06451612903225806,0.008064516129032258,24
0.19805194805194806,0.11688311688311688,0.022727272727272728,0.08116883116883117,0.30194805194805197,0.06168831168831169,0.022727272727272728,0.4253246753246753,0.012987012987012988,0.006493506493506494,0.06818181818181818,0.05194805194805195,0.025974025974025976,0.1461038961038961,0.09415584415584416,0.18181818181818182,0.06493506493506493,0.016233766233766232,53
0.22916666666666666,0.15625,0.041666666666666664,0.08333333333333333,0.19791666666666666,0.0625,0.010416666666666666,0.46875,0.020833333333333332,0.010416666666666666,0.08333333333333333,0.0625,0.020833333333333332,0.09375,0.09375,0.20833333333333334,0.07291666666666667,0.020833333333333332,23
0.22641509433962265,0.11949685534591195,0.03773584905660377,0.10062893081761007,0.2893081761006289,0.10062893081761007,0.031446540880503145,0.3836477987421384,0.006289308176100629,0.025157232704402517,0.05660377358490566,0.08176100628930817,0.05660377358490566,0.15723270440251572,0.08176100628930817,0.1761006289308176,0.07547169811320754,0.031446540880503145,24
0.22727272727272727,0.1590909090909091,0.022727272727272728,0.09090909090909091,0.22727272727272727,0.06818181818181818,0.022727272727272728,0.4318181818181818,0.0,0.022727272727272728,0.06818181818181818,0.045454545454545456,0.06818181818181818,0.18181818181818182,0.11363636363636363,0.1590909090909091,0.13636363636363635,0.022727272727272728,33
0.18781725888324874,0.1116751269035533,0.025380710659898477,0.07614213197969544,0.34517766497461927,0.08629441624365482,0.030456852791878174,0.38071065989847713,0.0,0.02030456852791878,0.08121827411167512,0.04568527918781726,0.04568527918781726,0.17258883248730963,0.07106598984771574,0.20304568527918782,0.050761421319796954,0.025380710659898477,42
0.21014492753623187,0.09420289855072464,0.021739130434782608,0.043478260869565216,0.3115942028985507,0.06521739130434782,0.028985507246376812,0.34057971014492755,0.0,0.036231884057971016,0.06521739130434782,0.036231884057971016,0.021739130434782608,0.15942028985507245,0.09420289855072464,0.2028985507246377,0.07971014492753623,0.028985507246376812,57
0.22549019607843138,0.09803921568627451,0.0392156862745098,0.058823529411764705,0.27450980392156865,0.06862745098039216,0.0392156862745098,0.43137254901960786,0.0,0.0,0.06862745098039216,0.0392156862745098,0.058823529411764705,0.11764705882352941,0.0784313725490196,0.1568627450980392,0.0784313725490196,0.0196078431372549,36
0.2109375,0.1640625,0.0390625,0.1015625,0.265625,0.078125,0.0234375,0.4296875,0.0078125,0.0078125,0.1015625,0.09375,0.0234375,0.1484375,0.09375,0.15625,0.09375,0.0234375,29
0.19811320754716982,0.08490566037735849,0.05660377358490566,0.05660377358490566,0.33962264150943394,0.04716981132075472,0.02830188679245283,0.3867924528301887,0.0,0.0,0.05660377358490566,0.04716981132075472,0.03773584905660377,0.16037735849056603,0.05660377358490566,0.20754716981132076,0.09433962264150944,0.02830188679245283,53
0.2535211267605634,0.09859154929577464,0.04929577464788732,0.08450704225352113,0.3028169014084507,0.07042253521126761,0.007042253521126761,0.3732394366197183,0.007042253521126761,0.02112676056338028,0.07042253521126761,0.035211267605633804,0.02112676056338028,0.18309859154929578,0.09154929577464789,0.16901408450704225,0.08450704225352113,0.014084507042253521,39
0.20512820512820512,0.0641025641025641,0.04487179487179487,0.0641025641025641,0.36538461538461536,0.08974358974358974,0.00641025641025641,0.391025641025641,0.00641025641025641,0.00641025641025641,0.057692307692307696,0.057692307692307696,0.02564102564102564,0.14743589743589744,0.057692307692307696,0.1346153846153846,0.0641025641025641,0.019230769230769232,28
0.1884920634920635,0.10714285714285714,0.021825396825396824,0.07539682539682539,0.29365079365079366,0.06547619047619048,0.013888888888888888,0.44246031746031744,0.007936507936507936,0.005952380952380952,0.07539682539682539,0.047619047619047616,0.041666666666666664,0.16865079365079366,0.07341269841269842,0.15873015873015872,0.05357142857142857,0.017857142857142856,47
0.22641509433962265,0.12578616352201258,0.050314465408805034,0.10062893081761007,0.3270440251572327,0.050314465408805034,0.012578616352201259,0.389937106918239,0.006289308176100629,0.006289308176100629,0.05660377358490566,0.05660377358490566,0.031446540880503145,0.13836477987421383,0.07547169811320754,0.1509433962264151,0.06289308176100629,0.018867924528301886,45
0.21428571428571427,0.09523809523809523,0.03571428571428571,0.10714285714285714,0.2857142857142857,0.09523809523809523,0.023809523809523808,0.44047619047619047,0.023809523809523808,0.0,0.05952380952380952,0.047619047619047616,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.17857142857142858,0.047619047619047616,0.03571428571428571,49
